first_name,last_name,occupation,income_level,identifier,product_name,product_type,transaction_id,customer_id,product_id,merchant_name,transaction_description,transaction_amount,type_deposit_withdrawal,transaction_date,channel
NANA,Gower,Account Representative IV,Low,068-07-3551,Private Car Insurance,motor insurance,4606,3,3334,National Bank,motor insurance Deposit,9396,D,2021-08-06 00:00:00.000,Branch
HODGE,Chastang,Systems Administrator I,Low,374-83-9794,Foreign Education Loan,educational loan,5351,507,3521,National Bank,educational loan Deposit,23970,D,2021-08-05 00:00:00.000,Branch
HANS,Bohden,Paralegal,Medium,338-82-7179,Regular Fixed Deposit,fixed deposit,7490,104,3201,National Bank,fixed deposit Deposit,12633,D,2021-08-05 00:00:00.000,Branch
SIGFRIED,Perryn,Financial Analyst,Medium,655-40-5035,Regular Fixed Deposit,fixed deposit,7180,193,1150,National Bank,fixed deposit Deposit,24195,D,2021-08-05 00:00:00.000,Branch
KEN,Sexten,Marketing Manager,Low,086-68-1269,Ultima Current Account,current account,6952,805,494,Muxo,current account Withdrawal,18115,W,2021-08-05 00:00:00.000,Net Banking
HANS,Bohden,Paralegal,Medium,338-82-7179,Emergency Personal Loan,Personal Loan,862,104,4028,National Bank,Personal Loan Deposit,16960,D,2021-08-05 00:00:00.000,Branch
HANS,Bohden,Paralegal,Medium,338-82-7179,Private Car Insurance,motor insurance,6295,104,58,National Bank,motor insurance Deposit,10161,D,2021-08-05 00:00:00.000,Branch
KEN,Sexten,Marketing Manager,Low,086-68-1269,SavingsMax Account,savings account,382,805,891,Avamm,savings account Withdrawal,2463,W,2021-08-05 00:00:00.000,Net Banking
KEN,Sexten,Marketing Manager,Low,086-68-1269,SavingsMax Account,savings account,5928,805,891,Mydeo,savings account Withdrawal,19650,W,2021-08-05 00:00:00.000,Net Banking
HANS,Bohden,Paralegal,Medium,338-82-7179,Critical Illness Platinum,health insurance,5746,104,1749,National Bank,health insurance Deposit,5699,D,2021-08-05 00:00:00.000,Branch
HANS,Bohden,Paralegal,Medium,338-82-7179,Emergency Personal Loan,Personal Loan,5707,104,4028,National Bank,Personal Loan Deposit,6109,D,2021-08-05 00:00:00.000,Branch
HANS,Bohden,Paralegal,Medium,338-82-7179,Emergency Personal Loan,Personal Loan,10936,104,4604,National Bank,Personal Loan Deposit,17257,D,2021-08-05 00:00:00.000,Branch
SIGFRIED,Perryn,Financial Analyst,Medium,655-40-5035,Regular Fixed Deposit,fixed deposit,4400,193,1150,National Bank,fixed deposit Deposit,18588,D,2021-08-05 00:00:00.000,Branch
HANS,Bohden,Paralegal,Medium,338-82-7179,Regular Fixed Deposit,fixed deposit,2544,104,3201,National Bank,fixed deposit Deposit,7238,D,2021-08-05 00:00:00.000,Branch
HANS,Bohden,Paralegal,Medium,338-82-7179,Critical Illness Platinum,health insurance,9498,104,1749,National Bank,health insurance Deposit,23726,D,2021-08-05 00:00:00.000,Branch
ESRA,Anfonsi,Compensation Analyst,Medium,420-55-7439,National Home Loan,home loan,9600,497,2818,National Bank,home loan Deposit,11309,D,2021-08-02 00:00:00.000,Branch
PADGETT,Layzell,Senior Developer,High,416-12-9146,New Car Loan,car loan,4073,127,1625,National Bank,car loan Deposit,20119,D,2021-08-01 00:00:00.000,Phone Banking
GINO,Shrieves,Software Engineer II,Low,870-55-1660,New Car Loan,car loan,3807,12,3016,National Bank,car loan Deposit,18282,D,2021-08-01 00:00:00.000,Phone Banking
ROANNA,Bonwell,Geologist IV,Low,267-52-7450,Apex Current Account,current account,7277,817,257,Ailane,savings account Withdrawal,1426,W,2021-08-01 00:00:00.000,Net Banking
REMY,Nann,Assistant Media Planner,Low,424-47-2630,Ultima Current Account,current account,6948,179,3617,Meejo,current account Withdrawal,19083,W,2021-08-01 00:00:00.000,Net Banking
CLARA,Cuss,Marketing Assistant,Medium,377-48-2988,Home Gaurd Insurance,home insurance,6818,753,2761,National Bank,home insurance Deposit,7158,D,2021-08-01 00:00:00.000,Phone Banking
THERESINA,Hek,Health Coach III,Medium,006-71-6814,SavingsMax Account,savings account,1671,586,1302,Thoughtblab,savings account Withdrawal,19763,W,2021-08-01 00:00:00.000,Net Banking
CULLAN,Ugolotti,Professor,High,577-79-0115,Foreign Education Loan,educational loan,1556,678,60,National Bank,educational loan Deposit,23213,D,2021-08-01 00:00:00.000,Branch
GINO,Shrieves,Software Engineer II,Low,870-55-1660,New Car Loan,car loan,6682,12,3016,National Bank,car loan Deposit,8795,D,2021-08-01 00:00:00.000,Phone Banking
WARING,Mallinder,Geologist I,Medium,937-73-0760,Equities,Equities,3042,810,2956,Flashdog,Equities Withdrawal,7579,W,2021-08-01 00:00:00.000,Branch
PADGETT,Layzell,Senior Developer,High,416-12-9146,New Car Loan,car loan,5473,127,1625,National Bank,car loan Deposit,11306,D,2021-08-01 00:00:00.000,Phone Banking
PADGETT,Layzell,Senior Developer,High,416-12-9146,New Car Loan,car loan,10740,127,1625,National Bank,car loan Deposit,9008,D,2021-08-01 00:00:00.000,Phone Banking
REMY,Nann,Assistant Media Planner,Low,424-47-2630,Ultima Current Account,current account,10595,179,3617,Wikibox,current account Withdrawal,18819,W,2021-08-01 00:00:00.000,Net Banking
CECE,Marvel,Financial Advisor,Medium,591-90-3419,National Home Loan,home loan,2604,825,195,National Bank,home loan Deposit,9989,D,2021-08-01 00:00:00.000,Branch
PADGETT,Layzell,Senior Developer,High,416-12-9146,New Car Loan,car loan,10333,127,1625,National Bank,car loan Deposit,22545,D,2021-08-01 00:00:00.000,Phone Banking
WASHINGTON,Halksworth,Community Outreach Specialist,Low,028-95-1968,Critical Illness Platinum,health insurance,2466,331,466,National Bank,health insurance Deposit,21751,D,2021-08-01 00:00:00.000,Branch
CULLAN,Ugolotti,Professor,High,577-79-0115,Regular Fixed Deposit,fixed deposit,10792,678,4365,National Bank,fixed deposit Deposit,20198,D,2021-08-01 00:00:00.000,Branch
NERON,Rishbrook,Legal Assistant,Medium,036-64-4326,National Home Loan,home loan,9052,333,4496,National Bank,home loan Deposit,20178,D,2021-08-01 00:00:00.000,Branch
CULLAN,Ugolotti,Professor,High,577-79-0115,Regular Fixed Deposit,fixed deposit,8551,678,4365,National Bank,fixed deposit Deposit,3785,D,2021-08-01 00:00:00.000,Branch
CULLAN,Ugolotti,Professor,High,577-79-0115,SavingsMax Account,savings account,4314,678,69,Meejo,current account Withdrawal,3482,W,2021-08-01 00:00:00.000,Net Banking
LINN,Vagg,Statistician IV,Medium,957-54-1506,Diners Club Black,credit card,2380,563,3110,Eazzy,mutual funds Withdrawal,16076,W,2021-08-01 00:00:00.000,Branch
CULLAN,Ugolotti,Professor,High,577-79-0115,SavingsMax Account,savings account,1047,678,69,Skipfire,current account Withdrawal,7959,W,2021-08-01 00:00:00.000,Net Banking
ARNOLDO,Antecki,Web Designer III,Medium,000-35-7436,Critical Illness Platinum,health insurance,2177,715,315,National Bank,health insurance Deposit,12437,D,2021-07-31 00:00:00.000,Branch
PEPI,Macquire,Quality Control Specialist,Medium,895-95-9355,Diners Club Black,credit card,8104,83,4180,Brainbox,mutual funds Withdrawal,21649,W,2021-07-30 00:00:00.000,Branch
PEPI,Macquire,Quality Control Specialist,Medium,895-95-9355,SavingsMax Account,savings account,3846,83,3154,Podcat,current account Withdrawal,9024,W,2021-07-30 00:00:00.000,Net Banking
PEPI,Macquire,Quality Control Specialist,Medium,895-95-9355,Life Easy Health,life insurance,7611,83,4135,National Bank,life insurance Deposit,10957,D,2021-07-30 00:00:00.000,Branch
BRADFORD,Crosser,Food Chemist,Medium,010-07-3932,Jet Privilege World,credit card,1873,65,4170,Zoomcast,mutual funds Withdrawal,16697,W,2021-07-30 00:00:00.000,Branch
RON,Magwood,Structural Engineer,High,735-79-0029,Super Saver Savings Account,savings account,56,317,216,Nlounge,savings account Withdrawal,4192,W,2021-07-30 00:00:00.000,Net Banking
FULTON,Scawton,Software Consultant,Low,220-93-1834,Foreign Education Loan,educational loan,3471,641,4771,National Bank,educational loan Deposit,12504,D,2021-07-30 00:00:00.000,Branch
WHITTAKER,Birkett,Senior Cost Accountant,High,155-65-8038,Life Easy Health,life insurance,3355,648,1259,National Bank,life insurance Deposit,21028,D,2021-07-30 00:00:00.000,Branch
BERNARD,Plumer,Electrical Engineer,High,332-82-2370,Private Car Insurance,motor insurance,6600,463,2036,National Bank,motor insurance Deposit,23979,D,2021-07-30 00:00:00.000,Branch
DEBORAH,Braganca,Geologist IV,High,214-97-3747,Emergency Personal Loan,Personal Loan,10320,562,1028,National Bank,Personal Loan Deposit,1063,D,2021-07-30 00:00:00.000,Branch
PEPI,Macquire,Quality Control Specialist,Medium,895-95-9355,New Car Loan,car loan,2423,83,1560,National Bank,car loan Deposit,22519,D,2021-07-30 00:00:00.000,Phone Banking
WHITTAKER,Birkett,Senior Cost Accountant,High,155-65-8038,Life Easy Health,life insurance,5084,648,1259,National Bank,life insurance Deposit,19812,D,2021-07-30 00:00:00.000,Branch
FULTON,Scawton,Software Consultant,Low,220-93-1834,Foreign Education Loan,educational loan,10312,641,4771,National Bank,educational loan Deposit,17166,D,2021-07-30 00:00:00.000,Branch
BRIANNE,Fulks,VP Marketing,Medium,980-29-6630,Platinum Times Card,credit card,7754,440,1462,Twimm,Equities Withdrawal,8994,W,2021-07-30 00:00:00.000,Branch
PEPI,Macquire,Quality Control Specialist,Medium,895-95-9355,SavingsMax Account,savings account,4372,83,3154,Voolia,current account Withdrawal,21548,W,2021-07-30 00:00:00.000,Net Banking
HARBERT,Sanchiz,Structural Engineer,High,448-95-0809,Regular Fixed Deposit,fixed deposit,973,907,2218,National Bank,fixed deposit Deposit,10771,D,2021-07-29 00:00:00.000,Branch
JULIAN,Croxton,Administrative Officer,Low,756-28-8515,Emergency Personal Loan,Personal Loan,7427,263,2889,National Bank,Personal Loan Deposit,22373,D,2021-07-29 00:00:00.000,Branch
RAY,Willment,General Manager,Low,512-37-2535,Super Saver Facility,fixed deposit,1794,796,3657,National Bank,fixed deposit Deposit,5918,D,2021-07-29 00:00:00.000,Branch
HARBERT,Sanchiz,Structural Engineer,High,448-95-0809,Regular Fixed Deposit,fixed deposit,6889,907,2218,National Bank,fixed deposit Deposit,10979,D,2021-07-29 00:00:00.000,Branch
JULIAN,Croxton,Administrative Officer,Low,756-28-8515,Emergency Personal Loan,Personal Loan,6580,263,2889,National Bank,Personal Loan Deposit,10729,D,2021-07-29 00:00:00.000,Branch
JULIAN,Croxton,Administrative Officer,Low,756-28-8515,Emergency Personal Loan,Personal Loan,3134,263,2889,National Bank,Personal Loan Deposit,19553,D,2021-07-29 00:00:00.000,Branch
JULIAN,Croxton,Administrative Officer,Low,756-28-8515,Emergency Personal Loan,Personal Loan,5420,263,2889,National Bank,Personal Loan Deposit,24238,D,2021-07-29 00:00:00.000,Branch
MASSIMO,Salling,Editor,Medium,262-37-4705,Pre-Owned Car Loan,car loan,10402,241,104,National Bank,car loan Deposit,3393,D,2021-07-29 00:00:00.000,Phone Banking
HARBERT,Sanchiz,Structural Engineer,High,448-95-0809,Regular Fixed Deposit,fixed deposit,8893,907,2218,National Bank,fixed deposit Deposit,20225,D,2021-07-29 00:00:00.000,Branch
BAT,Basilone,Accounting Assistant I,Low,644-35-2641,Regular Fixed Deposit,fixed deposit,1002,501,3210,National Bank,fixed deposit Deposit,10479,D,2021-07-28 00:00:00.000,Branch
DORA,Grimsey,Community Outreach Specialist,Medium,909-83-2359,Equities,Equities,7936,154,3043,Zoozzy,Equities Withdrawal,23846,W,2021-07-28 00:00:00.000,Branch
BAT,Basilone,Accounting Assistant I,Low,644-35-2641,Platinum Times Card,credit card,10855,501,701,Tazz,Equities Withdrawal,8174,W,2021-07-28 00:00:00.000,Branch
EBONY,Swainston,Software Test Engineer II,High,873-25-7132,Platinum Times Card,credit card,1705,451,527,Photobug,credit card Withdrawal,10207,W,2021-07-28 00:00:00.000,Net Banking
BAT,Basilone,Accounting Assistant I,Low,644-35-2641,Platinum Times Card,credit card,3341,501,701,Topicshots,Equities Withdrawal,15654,W,2021-07-28 00:00:00.000,Branch
RIANON,Beretta,Speech Pathologist,Low,093-31-0860,Central Govt Scheme,educational loan,6361,284,3060,National Bank,educational loan Deposit,23298,D,2021-07-28 00:00:00.000,Branch
EMELITA,Raitt,Geological Engineer,Medium,468-59-2002,Super Saver Facility,fixed deposit,5501,339,4480,National Bank,fixed deposit Deposit,9037,D,2021-07-28 00:00:00.000,Branch
MILTY,Bonas,Sales Representative,High,774-11-5379,Private Car Insurance,motor insurance,598,544,4301,National Bank,motor insurance Deposit,1116,D,2021-07-28 00:00:00.000,Branch
EBONY,Swainston,Software Test Engineer II,High,873-25-7132,Emergency Personal Loan,Personal Loan,1153,451,4638,National Bank,Personal Loan Deposit,10728,D,2021-07-28 00:00:00.000,Branch
STEVY,Huntly,Electrical Engineer,High,691-66-1350,Franklin Templeton MF,mutual funds,3931,976,420,Dynabox,mutual funds Withdrawal,15640,W,2021-07-27 00:00:00.000,Branch
STEVY,Huntly,Electrical Engineer,High,691-66-1350,Franklin Templeton MF,mutual funds,6884,976,420,Jabberbean,mutual funds Withdrawal,11109,W,2021-07-27 00:00:00.000,Branch
PENROD,Dudeney,Mechanical Systems Engineer,Low,001-56-0560,Assured Home Loan,home loan,1403,370,2633,National Bank,home loan Deposit,19930,D,2021-07-27 00:00:00.000,Branch
ALOISIA,Ledford,Sales Associate,High,578-87-0291,Life Easy Health,life insurance,9591,967,2038,National Bank,life insurance Deposit,13639,D,2021-07-27 00:00:00.000,Branch
STEVY,Huntly,Electrical Engineer,High,691-66-1350,SavingsMax Account,savings account,4723,976,1513,Twitternation,savings account Withdrawal,24572,W,2021-07-27 00:00:00.000,Net Banking
SHAWNA,Capper,Administrative Assistant III,Medium,993-96-8883,Equities,Equities,9734,646,956,Twitterlist,Equities Withdrawal,2781,W,2021-07-26 00:00:00.000,Branch
TIEBOLD,Freeman,Compensation Analyst,High,243-45-9149,Central Govt Scheme,educational loan,55,37,4728,National Bank,educational loan Deposit,13901,D,2021-07-26 00:00:00.000,Branch
SHAWNA,Capper,Administrative Assistant III,Medium,993-96-8883,Franklin Templeton MF,mutual funds,10981,646,530,Divanoodle,mutual funds Withdrawal,18787,W,2021-07-26 00:00:00.000,Branch
CALLI,Mattingson,Analyst Programmer,Low,727-27-7990,SavingsMax Account,savings account,6494,933,3795,Quire,current account Withdrawal,5898,W,2021-07-26 00:00:00.000,Net Banking
VAIL,Izakovitz,Nurse,High,037-30-8943,Diners Club Black,credit card,1974,541,108,Yabox,credit card Withdrawal,1667,W,2021-07-26 00:00:00.000,Net Banking
SHAWNA,Capper,Administrative Assistant III,Medium,993-96-8883,Emergency Personal Loan,Personal Loan,10228,646,2435,National Bank,Personal Loan Deposit,13340,D,2021-07-26 00:00:00.000,Branch
SHAWNA,Capper,Administrative Assistant III,Medium,993-96-8883,Equities,Equities,10955,646,956,Yakijo,Equities Withdrawal,17730,W,2021-07-26 00:00:00.000,Branch
SHAWNA,Capper,Administrative Assistant III,Medium,993-96-8883,Diners Club Black,credit card,5406,646,4775,Brainlounge,credit card Withdrawal,14706,W,2021-07-26 00:00:00.000,Net Banking
TREFOR,Rupel,Structural Analysis Engineer,High,621-03-0524,Life Easy Health,life insurance,10358,395,4963,National Bank,life insurance Deposit,16331,D,2021-07-26 00:00:00.000,Branch
CALLI,Mattingson,Analyst Programmer,Low,727-27-7990,Private Car Insurance,motor insurance,9475,933,349,National Bank,motor insurance Deposit,13511,D,2021-07-26 00:00:00.000,Branch
SHAWNA,Capper,Administrative Assistant III,Medium,993-96-8883,Equities,Equities,8811,646,956,Tavu,Equities Withdrawal,16332,W,2021-07-26 00:00:00.000,Branch
WYNN,Harwood,Systems Administrator I,High,133-85-6319,Private Car Insurance,motor insurance,6823,532,4475,National Bank,motor insurance Deposit,4108,D,2021-07-25 00:00:00.000,Branch
WYNN,Harwood,Systems Administrator I,High,133-85-6319,Private Car Insurance,motor insurance,105,532,4475,National Bank,motor insurance Deposit,21295,D,2021-07-25 00:00:00.000,Branch
WYNN,Harwood,Systems Administrator I,High,133-85-6319,Private Car Insurance,motor insurance,6624,532,4475,National Bank,motor insurance Deposit,18190,D,2021-07-25 00:00:00.000,Branch
WYNN,Harwood,Systems Administrator I,High,133-85-6319,Life Easy Health,life insurance,5340,532,3700,National Bank,life insurance Deposit,23130,D,2021-07-25 00:00:00.000,Branch
NERON,Jayume,Structural Analysis Engineer,Medium,515-96-1342,Super Saver Savings Account,savings account,6265,887,3513,Roodel,savings account Withdrawal,14019,W,2021-07-25 00:00:00.000,Net Banking
WYNN,Harwood,Systems Administrator I,High,133-85-6319,Critical Illness Platinum,health insurance,1536,532,3404,National Bank,health insurance Deposit,5335,D,2021-07-25 00:00:00.000,Branch
WYNN,Harwood,Systems Administrator I,High,133-85-6319,National Home Loan,home loan,1378,532,2577,National Bank,home loan Deposit,12539,D,2021-07-25 00:00:00.000,Branch
WYNN,Harwood,Systems Administrator I,High,133-85-6319,SavingsMax Account,savings account,9775,532,3725,Quimba,savings account Withdrawal,15162,W,2021-07-25 00:00:00.000,Net Banking
WYNN,Harwood,Systems Administrator I,High,133-85-6319,National Home Loan,home loan,10520,532,2577,National Bank,home loan Deposit,6451,D,2021-07-25 00:00:00.000,Branch
CONSTANCY,Dolligon,VP Sales,High,254-04-0266,Foreign Education Loan,educational loan,3616,875,3511,National Bank,educational loan Deposit,10946,D,2021-07-22 00:00:00.000,Branch
ANTIN,Roggero,Electrical Engineer,Medium,805-80-6442,National Home Loan,home loan,10851,792,57,National Bank,home loan Deposit,20149,D,2021-07-22 00:00:00.000,Branch
ARIEL,Akrigg,Biostatistician III,Low,468-06-5505,Platinum Times Card,credit card,6683,382,3462,Realfire,Equities Withdrawal,18646,W,2021-07-22 00:00:00.000,Branch
CONSTANCY,Dolligon,VP Sales,High,254-04-0266,Ultima Current Account,current account,100,875,333,Pixonyx,current account Withdrawal,4569,W,2021-07-22 00:00:00.000,Net Banking
ANTIN,Roggero,Electrical Engineer,Medium,805-80-6442,National Home Loan,home loan,6242,792,57,National Bank,home loan Deposit,15359,D,2021-07-22 00:00:00.000,Branch
CARMELITA,Dmitrienko,Account Coordinator,High,889-00-0088,Diners Club Black,credit card,6210,970,1108,Skimia,credit card Withdrawal,2304,W,2021-07-22 00:00:00.000,Net Banking
CARMELITA,Dmitrienko,Account Coordinator,High,889-00-0088,Diners Club Black,credit card,10885,970,1108,Mudo,credit card Withdrawal,21697,W,2021-07-22 00:00:00.000,Net Banking
ALASTAIR,Lovejoy,General Manager,Medium,858-14-5514,Life Easy Health,life insurance,2916,235,3933,National Bank,life insurance Deposit,19685,D,2021-07-22 00:00:00.000,Branch
ANTIN,Roggero,Electrical Engineer,Medium,805-80-6442,National Home Loan,home loan,5661,792,57,National Bank,home loan Deposit,13665,D,2021-07-22 00:00:00.000,Branch
TRUDIE,Arlet,Research Nurse,Low,613-19-2254,Life Easy Health,life insurance,669,790,3070,National Bank,life insurance Deposit,3893,D,2021-07-22 00:00:00.000,Branch
TRUDIE,Arlet,Research Nurse,Low,613-19-2254,Life Easy Health,life insurance,4962,790,3070,National Bank,life insurance Deposit,17708,D,2021-07-22 00:00:00.000,Branch
RODERICH,Kopman,Software Test Engineer III,Low,367-67-9106,Private Car Insurance,motor insurance,9859,716,2285,National Bank,motor insurance Deposit,10883,D,2021-07-22 00:00:00.000,Branch
DANILA,Adamiak,Recruiter,Medium,050-56-8651,SavingsMax Account,savings account,8692,503,183,Jaxworks,savings account Withdrawal,13834,W,2021-07-22 00:00:00.000,Net Banking
CONSTANCY,Dolligon,VP Sales,High,254-04-0266,Foreign Education Loan,educational loan,8978,875,1012,National Bank,educational loan Deposit,7518,D,2021-07-22 00:00:00.000,Branch
NEILLA,Gollop,Internal Auditor,Medium,401-23-4332,Diners Club Black,credit card,81,724,1167,Kwinu,credit card Withdrawal,20714,W,2021-07-22 00:00:00.000,Net Banking
GRANGE,Siman,Developer I,Low,731-83-5854,Emergency Personal Loan,Personal Loan,4918,549,1548,National Bank,Personal Loan Deposit,6218,D,2021-07-21 00:00:00.000,Branch
CECILIO,Lunk,Staff Scientist,Low,565-56-4313,Private Car Insurance,motor insurance,7128,474,1011,National Bank,motor insurance Deposit,6910,D,2021-07-21 00:00:00.000,Branch
DUKY,MacRonald,Cost Accountant,Medium,029-39-1385,National Home Loan,home loan,6517,318,3673,National Bank,home loan Deposit,11933,D,2021-07-21 00:00:00.000,Branch
HERCULIE,Lugton,Structural Engineer,High,843-55-1226,Diners Club Black,credit card,1585,687,1401,Browsecat,mutual funds Withdrawal,3910,W,2021-07-21 00:00:00.000,Branch
NORAH,Scholey,Marketing Assistant,Medium,863-15-5989,Emergency Personal Loan,Personal Loan,4728,131,2124,National Bank,Personal Loan Deposit,11987,D,2021-07-21 00:00:00.000,Branch
HERCULIE,Lugton,Structural Engineer,High,843-55-1226,Life Easy Health,life insurance,10731,687,2973,National Bank,life insurance Deposit,22009,D,2021-07-21 00:00:00.000,Branch
HERCULIE,Lugton,Structural Engineer,High,843-55-1226,Life Easy Health,life insurance,9920,687,2973,National Bank,life insurance Deposit,14341,D,2021-07-21 00:00:00.000,Branch
